strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
trend_pullback_rsi,long,2021-11-05 16:00:00,2021-11-10 12:00:00,418,435,stop,-1.0418785521986151,-37.3178571428569
trend_pullback_rsi,long,2021-11-11 16:00:00,2021-11-16 20:00:00,442,461,timeout,-0.2111613876319835,-9.000000000000284
trend_pullback_rsi,long,2021-11-18 08:00:00,2021-11-19 08:00:00,470,476,stop,-1.0436817472698863,-35.83928571428546
trend_pullback_rsi,short,2021-12-09 00:00:00,2021-12-14 04:00:00,557,576,timeout,1.6916839711262646,61.09999999999932
trend_pullback_rsi,short,2021-12-23 16:00:00,2021-12-28 12:00:00,621,638,stop,-1.0446713465220183,-35.0785714285719
trend_pullback_rsi,short,2022-03-24 08:00:00,2022-03-24 16:00:00,1009,1011,stop,-1.035514967021821,-43.73571428571437
trend_pullback_rsi,long,2022-04-12 00:00:00,2022-04-15 04:00:00,1085,1104,timeout,-0.30619684082624204,-10.799999999999862
trend_pullback_rsi,long,2022-04-18 12:00:00,2022-04-20 16:00:00,1112,1125,target,2.9497667743092815,88.08214285714304
trend_pullback_rsi,long,2022-04-26 08:00:00,2022-04-26 16:00:00,1147,1149,stop,-1.0272479564032693,-56.54999999999982
trend_pullback_rsi,long,2022-04-27 08:00:00,2022-04-27 16:00:00,1153,1155,stop,-1.0244029980826235,-62.96785714285729
trend_pullback_rsi,short,2022-07-20 00:00:00,2022-07-22 12:00:00,1511,1526,stop,-1.032191308346743,-48.096428571428206
trend_pullback_rsi,short,2022-10-26 16:00:00,2022-10-31 20:00:00,1935,1954,timeout,0.8998137802607122,60.40000000000028
trend_pullback_rsi,short,2022-11-11 04:00:00,2022-11-11 08:00:00,2004,2005,stop,-1.0185799601858,-82.23214285714282
trend_pullback_rsi,short,2022-11-14 08:00:00,2022-11-15 08:00:00,2011,2017,stop,-1.0187768240343376,-81.38571428571457
trend_pullback_rsi,short,2022-11-16 00:00:00,2022-11-21 04:00:00,2021,2040,timeout,1.630760531523879,102.99999999999957
trend_pullback_rsi,short,2022-12-01 12:00:00,2022-12-06 16:00:00,2090,2109,timeout,1.7539252694348608,114.49999999999942
trend_pullback_rsi,short,2023-01-25 12:00:00,2023-01-30 16:00:00,2318,2337,timeout,0.3890455094643582,20.699999999999996
trend_pullback_rsi,long,2023-02-06 08:00:00,2023-02-06 12:00:00,2365,2366,stop,-1.026345502446361,-58.435714285714084
trend_pullback_rsi,long,2023-02-07 04:00:00,2023-02-10 08:00:00,2370,2389,timeout,0.4909502262443525,27.900000000000535
trend_pullback_rsi,short,2023-06-02 16:00:00,2023-06-06 04:00:00,2871,2880,stop,-1.0327026395701984,-47.36785714285723
trend_pullback_rsi,short,2023-06-15 00:00:00,2023-06-15 16:00:00,2921,2925,stop,-1.03506135737541,-44.28214285714288
trend_pullback_rsi,short,2023-06-16 16:00:00,2023-06-21 20:00:00,2931,2950,timeout,1.578616352201266,75.3000000000002
trend_pullback_rsi,short,2023-11-29 08:00:00,2023-12-04 00:00:00,3637,3653,stop,-1.040745052386482,-38.31428571428502
trend_pullback_rsi,short,2023-12-15 00:00:00,2023-12-19 16:00:00,3707,3723,stop,-1.0292214568983464,-52.832142857142266
trend_pullback_rsi,short,2023-12-20 12:00:00,2023-12-21 20:00:00,3728,3736,stop,-1.0470430107526842,-33.38571428571429
trend_pullback_rsi,long,2024-01-18 04:00:00,2024-01-23 08:00:00,3840,3859,timeout,0.7226318774815601,27.299999999999937
trend_pullback_rsi,long,2024-07-22 04:00:00,2024-07-22 04:00:00,4632,4632,stop,-1.068493150684909,-23.399999999999142
trend_pullback_rsi,long,2024-07-26 08:00:00,2024-07-31 04:00:00,4657,4674,stop,-1.0468540829986666,-33.51428571428577
trend_pullback_rsi,long,2024-07-31 16:00:00,2024-08-01 20:00:00,4677,4684,stop,-1.0457366873570724,-34.296428571428834
trend_pullback_rsi,long,2024-08-05 20:00:00,2024-08-09 00:00:00,4696,4715,timeout,1.6488619994237903,102.19999999999989
trend_pullback_rsi,long,2024-09-09 20:00:00,2024-09-11 16:00:00,4846,4857,stop,-1.039897406668555,-39.096428571428085
trend_pullback_rsi,long,2024-10-07 04:00:00,2024-10-07 16:00:00,4962,4965,stop,-1.0478142076502681,-32.87142857142838
trend_pullback_rsi,long,2024-10-08 04:00:00,2024-10-08 04:00:00,4968,4968,stop,-1.044317822095614,-35.34642857142905
trend_pullback_rsi,long,2024-10-09 00:00:00,2024-10-14 04:00:00,4973,4992,timeout,-0.03731201218352649,-1.400000000000455
trend_pullback_rsi,long,2024-10-24 00:00:00,2024-10-25 20:00:00,5039,5050,stop,-1.0475382003395761,-33.053571428571956
trend_pullback_rsi,long,2024-10-29 12:00:00,2024-10-29 16:00:00,5060,5061,stop,-1.0530303030302945,-29.785714285714022
trend_pullback_rsi,long,2024-10-30 00:00:00,2024-11-04 04:00:00,5063,5082,timeout,1.8043767380002194,53.299999999999294
trend_pullback_rsi,long,2024-11-14 20:00:00,2024-11-14 20:00:00,5134,5134,stop,-1.041140170437849,-37.96071428571429
trend_pullback_rsi,long,2024-11-15 08:00:00,2024-11-20 12:00:00,5137,5156,timeout,1.0956893916233665,38.40000000000049
trend_pullback_rsi,short,2025-01-06 20:00:00,2025-01-07 08:00:00,5344,5347,stop,-1.0383561643835655,-40.607142857143224
