pair,in_trades,in_win_rate,in_avg_r,out_trades,out_win_rate,out_avg_r
EURUSD,27,0.2962962962962963,-0.2995408602064404,13,0.3076923076923077,-0.27199820764649374
USDJPY,50,0.5,0.23366730918061848,9,0.6666666666666666,0.6502664622718674
AUDUSD,40,0.375,-0.09983241358911113,7,0.42857142857142855,0.03101261051193457
