strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
trend_pullback_rsi,long,2021-11-09 16:00:00,2021-11-11 00:00:00,430,438,target,2.962576851109328,118.74642857142852
trend_pullback_rsi,long,2021-11-29 04:00:00,2021-11-29 08:00:00,511,512,stop,-1.0269489894129071,-57.16071428571462
trend_pullback_rsi,long,2022-01-13 00:00:00,2022-01-13 12:00:00,707,710,stop,-1.0356143474942727,-43.61785714285696
trend_pullback_rsi,long,2022-01-14 20:00:00,2022-01-20 00:00:00,718,737,timeout,0.11202240448090128,6.000000000000284
trend_pullback_rsi,long,2022-05-19 20:00:00,2022-05-24 16:00:00,1252,1269,stop,-1.0179648402412398,-84.99642857142783
trend_pullback_rsi,long,2022-05-25 00:00:00,2022-05-30 04:00:00,1271,1290,timeout,0.2210849539406424,16.20000000000067
trend_pullback_rsi,long,2022-07-25 00:00:00,2022-07-28 04:00:00,1529,1548,stop,-1.016963528413911,-89.92500000000086
trend_pullback_rsi,long,2022-07-29 16:00:00,2022-08-01 00:00:00,1557,1559,stop,-1.0126903553299405,-119.69999999999878
trend_pullback_rsi,long,2022-08-02 20:00:00,2022-08-08 00:00:00,1570,1589,timeout,2.4768486523842417,307.1999999999989
trend_pullback_rsi,long,2022-09-22 20:00:00,2022-09-28 00:00:00,1792,1811,timeout,1.2919884546376506,236.6
trend_pullback_rsi,long,2022-10-27 16:00:00,2022-11-01 20:00:00,1941,1960,timeout,1.6677611834904424,168.69999999999982
trend_pullback_rsi,long,2022-11-11 04:00:00,2022-11-11 08:00:00,2004,2005,stop,-1.009319664492079,-162.4499999999997
trend_pullback_rsi,long,2022-11-14 12:00:00,2022-11-15 12:00:00,2012,2018,stop,-1.0073742428232886,-204.91071428571524
trend_pullback_rsi,long,2022-11-15 20:00:00,2022-11-21 00:00:00,2020,2039,timeout,0.699913032674859,100.59999999999867
trend_pullback_rsi,long,2022-11-24 08:00:00,2022-11-24 12:00:00,2059,2060,stop,-1.0172839506172735,-88.28571428571331
trend_pullback_rsi,long,2022-11-25 00:00:00,2022-11-28 08:00:00,2063,2071,stop,-1.017670074466746,-86.38928571428573
trend_pullback_rsi,long,2022-11-28 16:00:00,2022-12-01 00:00:00,2073,2087,stop,-1.0164280685285023,-92.80714285714134
trend_pullback_rsi,long,2022-12-02 16:00:00,2022-12-07 20:00:00,2097,2116,timeout,0.772840551088538,117.39999999999931
trend_pullback_rsi,long,2022-12-21 04:00:00,2022-12-27 08:00:00,2172,2191,timeout,0.5998441963126444,98.99999999999955
trend_pullback_rsi,long,2023-01-03 12:00:00,2023-01-05 12:00:00,2222,2234,target,2.984032846715321,280.32857142857074
trend_pullback_rsi,long,2023-01-16 12:00:00,2023-01-19 16:00:00,2276,2295,timeout,0.14109347442680245,17.999999999999318
trend_pullback_rsi,short,2023-02-27 04:00:00,2023-02-28 12:00:00,2454,2462,stop,-1.0212992545260973,-71.92500000000018
trend_pullback_rsi,long,2023-03-14 00:00:00,2023-03-17 04:00:00,2519,2538,timeout,-0.08966695132363882,-13.499999999997614
trend_pullback_rsi,long,2023-07-07 16:00:00,2023-07-07 16:00:00,3021,3021,stop,-1.0196380979099293,-77.88214285714184
trend_pullback_rsi,long,2023-07-10 04:00:00,2023-07-10 16:00:00,3024,3027,stop,-1.018450184501839,-82.79999999999882
trend_pullback_rsi,long,2023-07-14 12:00:00,2023-07-19 16:00:00,3050,3069,timeout,1.4906689635371602,129.79999999999882
trend_pullback_rsi,long,2023-12-08 08:00:00,2023-12-13 12:00:00,3679,3698,timeout,0.9179742314070736,128.50000000000114
trend_pullback_rsi,long,2023-12-15 04:00:00,2023-12-20 08:00:00,3708,3727,timeout,0.8703588467123016,104.89999999999931
trend_pullback_rsi,long,2023-12-28 16:00:00,2023-12-28 16:00:00,3759,3759,stop,-1.023255813953468,-65.99999999999818
