pair,in_trades,in_win_rate,in_avg_r,in_total_r,out_trades,out_win_rate,out_avg_r,out_total_r
EURUSD,26,0.2692307692307692,-0.4510935890985585,-11.728433316562521,13,0.3076923076923077,-0.27001268805746365,-3.5101649447470273
USDJPY,50,0.44,0.008888242470810555,0.4444121235405277,9,0.4444444444444444,0.1891448423850701,1.7023035814656309
AUDUSD,40,0.3,-0.24674476736722015,-9.869790694688806,7,0.42857142857142855,0.02573008803989734,0.18011061627928138
