strategy,direction,entry_time,exit_time,entry_index,exit_index,exit_reason,r_multiple,pnl_pips
trend_pullback_rsi,short,2024-02-22 16:00:00,2024-02-26 12:00:00,226,237,stop,-1.0415923945335621,-37.56428571428566
trend_pullback_rsi,short,2024-03-07 00:00:00,2024-03-07 16:00:00,282,286,stop,-1.05912162162159,-26.871428571427934
trend_pullback_rsi,short,2024-03-08 12:00:00,2024-03-08 12:00:00,291,291,stop,-1.0447570332481053,-35.014285714286714
trend_pullback_rsi,short,2024-03-08 20:00:00,2024-03-14 00:00:00,293,312,timeout,-0.27294882209588067,-10.800000000000972
trend_pullback_rsi,short,2024-07-15 04:00:00,2024-07-15 12:00:00,835,837,stop,-1.0505963136971201,-31.14642857142818
trend_pullback_rsi,short,2024-07-15 20:00:00,2024-07-17 08:00:00,839,848,stop,-1.046037487668515,-34.08214285714267
trend_pullback_rsi,short,2024-07-17 20:00:00,2024-07-23 00:00:00,851,870,timeout,1.374649324152024,38.500000000000036
trend_pullback_rsi,short,2024-08-05 00:00:00,2024-08-05 08:00:00,924,926,stop,-1.03359731221503,-46.14642857142875
trend_pullback_rsi,short,2024-08-05 20:00:00,2024-08-09 00:00:00,929,948,timeout,0.7773497217636073,45.40000000000083
trend_pullback_rsi,long,2024-09-02 04:00:00,2024-09-05 08:00:00,1045,1064,timeout,1.2601002352459962,44.00000000000054
trend_pullback_rsi,long,2024-10-07 16:00:00,2024-10-09 16:00:00,1198,1210,stop,-1.0432499227679874,-36.182142857143106
trend_pullback_rsi,long,2024-10-10 16:00:00,2024-10-10 16:00:00,1216,1216,stop,-1.055577610162755,-28.48928571428505
trend_pullback_rsi,long,2024-10-11 00:00:00,2024-10-14 20:00:00,1218,1229,stop,-1.0475866757307932,-33.02142857142825
trend_pullback_rsi,long,2024-10-18 08:00:00,2024-10-21 20:00:00,1250,1259,stop,-1.0562927221552167,-28.146428571428515
trend_pullback_rsi,long,2024-10-22 04:00:00,2024-10-22 20:00:00,1261,1265,stop,-1.0657276995305522,-24.321428571428992
trend_pullback_rsi,long,2024-10-23 08:00:00,2024-10-23 08:00:00,1268,1268,stop,-1.0657894736842495,-24.300000000000598
trend_pullback_rsi,long,2024-10-24 00:00:00,2024-10-29 04:00:00,1272,1291,timeout,0.9716792979657259,26.100000000000957
trend_pullback_rsi,long,2024-11-06 20:00:00,2024-11-11 12:00:00,1331,1347,stop,-1.023037683067304,-66.61071428571435
trend_pullback_rsi,short,2025-01-20 20:00:00,2025-01-22 08:00:00,1637,1646,stop,-1.0273544353263124,-56.335714285714765
trend_pullback_rsi,short,2025-01-24 16:00:00,2025-01-24 16:00:00,1660,1660,stop,-1.0317676423871296,-48.71785714285831
trend_pullback_rsi,short,2025-03-10 08:00:00,2025-03-11 08:00:00,1844,1850,stop,-1.0228795554829366,-67.06071428571508
trend_pullback_rsi,short,2025-03-12 04:00:00,2025-03-17 08:00:00,1855,1874,timeout,0.41407712467242075,23.700000000000777
trend_pullback_rsi,long,2025-05-13 16:00:00,2025-05-16 20:00:00,2122,2141,timeout,0.49994522948842895,32.59999999999913
trend_pullback_rsi,long,2025-07-16 04:00:00,2025-07-16 16:00:00,2395,2398,stop,-1.0370566437268243,-41.978571428570476
trend_pullback_rsi,long,2025-07-30 04:00:00,2025-07-30 12:00:00,2455,2457,stop,-1.0269593683805207,-57.139285714286224
trend_pullback_rsi,long,2025-07-31 12:00:00,2025-08-05 16:00:00,2463,2482,timeout,2.025696167631661,131.1999999999989
