pair,timeframe,in_trades,in_win_rate,in_avg_r,in_total_r,out_trades,out_win_rate,out_avg_r,out_total_r
AUDUSD,H4,195,0.6717948717948717,0.4273550159901235,83.33422811807408,69,0.4057971014492754,-0.0810006116127927,-5.589042201282696
EURUSD,H1,38,0.7894736842105263,0.4248389611497856,16.143880523691852,8,0.5,0.16096494354633165,1.2877195483706532
EURUSD,H4,95,0.7052631578947368,0.3103449669105121,29.48277185649865,22,0.36363636363636365,-0.12953972759653018,-2.849874007123664
GBPUSD,H4,209,0.722488038277512,0.4621808609063544,96.59579992942807,92,0.5,0.019857949793559097,1.826931381007437
USDCAD,H4,32,0.6875,0.1789790715864288,5.727330290765722,3,0.3333333333333333,-0.6946704783158081,-2.084011434947424
USDCHF,H4,220,0.6318181818181818,0.27533271153691724,60.57319653812179,81,0.4074074074074074,-0.16554179194665147,-13.408885147678768
USDJPY,H4,226,0.7168141592920354,0.428560249129118,96.85461630318066,83,0.4939759036144578,-0.002907217145290649,-0.24129902305912387
