strategy,in_trade_count,in_win_rate,in_avg_r,in_profit_factor,in_total_r,in_max_drawdown_r,in_best_trade_r,in_worst_trade_r,in_direction,in_source,out_trade_count,out_win_rate,out_avg_r,out_profit_factor,out_total_r,out_max_drawdown_r,out_best_trade_r,out_worst_trade_r,out_direction,out_source
body:UM2|DM2|UM2@3(catalog),6,0.6666666666666666,0.2708982404122238,2.0047943381670312,1.625389442473343,-1.026435045317232,1.4323344610922704,-1.026435045317232,short,catalog,1,1.0,0.7005572614580081,,0.7005572614580081,0.0,0.7005572614580081,0.7005572614580081,short,catalog
shadow:U1L1|U0L1|U1L2@3(catalog),13,0.6923076923076923,0.24457093067920666,2.0124847123707506,3.1794220988296864,-1.599475728265183,1.4681528662420593,-1.051890289103066,short,catalog,1,0.0,-1.0384721077219097,0.0,-1.0384721077219097,0.0,-1.0384721077219097,-1.0384721077219097,short,catalog
shadow:U1L1|U1L0|U1L2@3(catalog),12,0.6666666666666666,0.00018493416545790927,1.0006218375458928,0.002219209985494911,-2.0533640461095795,1.4483585392843668,-1.0523756079311333,short,catalog,2,0.0,-0.8370944103116585,0.0,-1.674188820623317,-1.0621669626997878,-0.6120218579235293,-1.0621669626997878,short,catalog
shadow:U1L1|U1L2|U1L1@3(reverse-long),11,0.5454545454545454,0.2618316607798935,1.6698350093386287,2.8801482685788287,-3.1175210009301044,1.4721337579617855,-1.0672430355427658,long,reverse,6,0.16666666666666666,-0.4331579107554435,0.24036943557744905,-2.598947464532661,-3.4213308235014286,0.8223833589687675,-1.0547730829421234,long,reverse
shadow:U1L1|U2L0|U1L1@3(reverse-long),10,0.5,0.14431445700617457,1.3917556791728158,1.4431445700617458,-1.1387988594707974,1.4740980573542972,-1.0385356454720884,long,reverse,2,0.0,-0.9363331106133819,0.0,-1.8726662212267637,-1.0453808752026026,-0.8272853460241612,-1.0453808752026026,long,reverse
shadow:U1L1|U2L0|U2L1@3(catalog),10,0.9,0.6812596440931802,7.431091040239622,6.812596440931801,-1.059322033898305,1.4771652259011694,-1.059322033898305,long,catalog,3,0.6666666666666666,0.37505173375938455,2.9189236439091597,1.1251552012781536,-0.5863470413997451,1.4515905947441274,-0.586347041399745,long,catalog
shadow:U1L1|U2L0|U2L1@3(reverse-long),10,0.9,0.6812596440931802,7.431091040239622,6.812596440931801,-1.059322033898305,1.4771652259011694,-1.059322033898305,long,reverse,3,0.6666666666666666,0.37505173375938455,2.9189236439091597,1.1251552012781536,-0.5863470413997451,1.4515905947441274,-0.586347041399745,long,reverse
shadow:U1L2|U0L2|U1L1@3(catalog),10,0.9,0.49267152119567753,5.762256430441683,4.926715211956775,-1.0345337937839352,1.4655002464268254,-1.0345337937839352,long,catalog,1,0.0,-1.027306417007997,0.0,-1.027306417007997,0.0,-1.027306417007997,-1.027306417007997,long,catalog
shadow:U2L1|U1L1|U0L1@3(catalog),13,0.6153846153846154,0.13850309021147558,1.3975175306756398,1.8005401727491825,-1.2749853879313702,1.4637493526670347,-1.0628084342754867,short,catalog,3,0.6666666666666666,0.8036131199915566,5.880826642134881,2.41083935997467,0.0,1.4705387205387215,-0.4939407884645059,short,catalog
