pair,idea,rule,in_trades,in_win_rate,in_avg_r,out_trades,out_win_rate,out_avg_r
USDCHF,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.0032519999999999897, ""mode"": ""reversion"", ""mean_aligned_return"": -0.000257363823775492, ""sample_size"": 1067}",295,0.5288135593220339,0.018865793522023,72,0.4583333333333333,-0.0314189160834945
USDCHF,volume_divergence,"{""window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.8, ""move_z_threshold"": 0.6518527064323303, ""volume_z_threshold_low"": -0.9047375976403305, ""mode"": ""continuation"", ""mean_aligned_return"": 0.0001756267443051083, ""sample_size"": 30}",29,0.4827586206896552,0.0224896087289979,19,0.4210526315789473,-0.1048762768143573
USDCHF,gap_fill,"{""gap_multiplier"": 1.5, ""forward_k"": 10, ""mode"": ""fill"", ""mean_aligned_return"": -0.0016768145329560855, ""sample_size"": 182}",181,0.6077348066298343,0.3049637618684951,77,0.5064935064935064,0.1006778394712704
USDCHF,mean_reversion,"{""ma_window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.9, ""z_threshold"": 2.030981484235974, ""mode"": ""reversion"", ""mean_aligned_return"": -6.136590100236684e-05, ""sample_size"": 535}",307,0.4853420195439739,-0.0570578037605976,128,0.4765625,-0.070021868404545
USDJPY,seasonality_hour,"{""group_by"": ""hour"", ""key"": 0, ""forward_k"": 5, ""direction"": ""long"", ""mean_forward_return"": 0.00050876985711274, ""sample_size"": 893, ""score"": 0.4543314824016768}",891,0.5331088664421998,0.0524841789884723,381,0.5144356955380578,0.02373953433252
USDJPY,seasonality_dow,"{""group_by"": ""dayofweek"", ""key"": 1, ""forward_k"": 5, ""direction"": ""long"", ""mean_forward_return"": 0.0007379603435718587, ""sample_size"": 1080, ""score"": 0.7969971710576075}",371,0.5579514824797843,0.1059506012826784,158,0.4936708860759494,0.0088105995137521
USDJPY,volatility_regime,"{""atr_period"": 14, ""regime_quantile"": 0.8, ""forward_k"": 5, ""atr_threshold"": 0.6248714285714223, ""mode"": ""reversion"", ""mean_aligned_return"": -1.7807394441795796e-05, ""sample_size"": 1070}",286,0.479020979020979,-0.0017111925468661,89,0.5280898876404494,0.0160715735902593
USDJPY,volume_divergence,"{""window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.8, ""move_z_threshold"": 0.6534004727322869, ""volume_z_threshold_low"": -0.9042761947016889, ""mode"": ""continuation"", ""mean_aligned_return"": 0.0005379262517994955, ""sample_size"": 57}",56,0.5178571428571429,0.0112549113344931,41,0.5121951219512195,-0.0530980731132008
USDJPY,gap_fill,"{""gap_multiplier"": 1.5, ""forward_k"": 10, ""mode"": ""fill"", ""mean_aligned_return"": -0.0011289325896106884, ""sample_size"": 182}",181,0.569060773480663,0.1577216138336161,76,0.4868421052631579,0.0338386422295973
USDJPY,mean_reversion,"{""ma_window"": 20, ""forward_k"": 5, ""extreme_quantile"": 0.9, ""z_threshold"": 2.0686699699375906, ""mode"": ""continuation"", ""mean_aligned_return"": 0.0004750533213725533, ""sample_size"": 535}",285,0.4912280701754385,0.098525811313492,109,0.4862385321100917,-0.0141220867094553
