experiment,variant,trades,avg_r,win_rate
timeframe,H4,305,0.1921952378866936,
timeframe,D1,295,0.0654625809309715,
entry_delay_bars,0,305,0.1921952378866936,
entry_delay_bars,1,305,-0.0119381730570998,
entry_delay_bars,2,306,-0.0335836455504339,
target_as_gap_pct,0.3,311,0.05147656194859821,0.8038585209003215
target_as_gap_pct,0.5,311,0.096182257721783,0.864951768488746
target_as_gap_pct,0.75,311,0.14084325205004272,0.8553054662379421
target_as_gap_pct,1.0,311,0.15098387965995946,0.8295819935691319
